time,logger,level,database,threadid,message,exception
2016-10-20 13:59:25.1855,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,14,Request #  46: GET     -     0 ms -            - 200 - http://localhost:8080/stats,
2016-10-20 13:59:27.1814,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,12,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 13:59:57.0906,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,21,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 14:00:27.0919,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,12,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 14:00:57.1056,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,29,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 14:01:27.1056,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,17,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 14:01:57.1057,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,30,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 14:02:27.1058,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,31,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 14:02:30.9722,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,32,Document with key 'Raven/Databases/RavenDBFirstSteps' was not found,
2016-10-20 14:02:30.9722,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,35,Document with key 'Raven/Databases/RavenDBFirstSteps' was not found,
2016-10-20 14:02:30.9832,Raven.Database.Server.Controllers.RavenDbApiController,Warn,,32,Could not find a database named: RavenDBFirstSteps,
2016-10-20 14:02:30.9832,Raven.Database.Server.WebApi.RequestManager,Debug,,32,Request #  47: GET     -    22 ms - RavenDBFirstSteps - 503 - http://localhost:8080/databases/RavenDBFirstSteps/queries/?&id=Raven%2FHilo%2Fstudents&id=Raven%2FServerPrefixForHilo,
2016-10-20 14:02:57.1060,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,25,Performing Transactions Cleanup Sequence for db <system>,
2016-10-20 14:03:01.2339,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,36,Request #  48: GET     -     0 ms -            - 200 - http://localhost:8080/stats,
2016-10-20 14:03:01.2339,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,32,Request #  49: GET     -     2 ms -            - 200 - http://localhost:8080/debug/plugins,
2016-10-20 14:03:01.2339,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,37,Request #  50: GET     -     0 ms -            - 200 - http://localhost:8080/debug/config,
2016-10-20 14:03:01.2469,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,36,Request #  51: GET     -     3 ms -            - 200 - http://localhost:8080/stats,
2016-10-20 14:03:01.2469,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,37,Request #  52: GET     -     0 ms -            - 200 - http://localhost:8080/debug/config,
2016-10-20 14:03:12.1585,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,37,Document with key 'Raven/Databases/Candidates' was not found,
2016-10-20 14:03:12.3471,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,37,Document with key 'Raven/Databases/Candidates' was not found,
2016-10-20 14:03:12.3764,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,37,"Inserted a new document with key 'Raven/Databases/Candidates', update: False, ",
2016-10-20 14:03:12.3922,Raven.Database.Server.Tenancy.AbstractLandlord`1,Info,<system>,37,Shutting down database Candidates because the tenant database has been updated or removed,
2016-10-20 14:03:12.3922,Raven.Database.Indexing.WorkContext,Debug,<system>,37,Incremented work counter to 1 because: PUT Raven/Databases/Candidates,
2016-10-20 14:03:12.3922,Raven.Database.DocumentDatabase,Debug,<system>,37,Put document Raven/Databases/Candidates with etag 01000000-0000-0001-0000-000000000001,
2016-10-20 14:03:12.3922,Raven.Database.Indexing.IndexingExecuter,Debug,<system>,15,No tasks to execute were found!,
2016-10-20 14:03:12.3922,Raven.Database.Indexing.IndexingExecuter,Debug,<system>,15,"Executed 0 tasks, processed documents: 0, took 0ms",
2016-10-20 14:03:12.3922,Raven.Database.Indexing.IndexingExecuter,Debug,<system>,15,No tasks to execute were found!,
2016-10-20 14:03:12.3922,Raven.Database.Indexing.IndexingExecuter,Debug,<system>,15,"Executed 0 tasks, processed documents: 0, took 0ms",
2016-10-20 14:03:12.3922,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,37,Request #  54: PUT     -   344 ms -            - 200 - http://localhost:8080/admin/databases/Candidates,
2016-10-20 14:03:12.3922,Raven.Database.Indexing.WorkContext,Debug,<system>,15,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2016-10-20 14:03:12.4027,Raven.Database.Indexing.WorkContext,Debug,<system>,16,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2016-10-20 14:03:12.4027,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,36,"Document with key 'Raven/Databases/Candidates' was found, etag: 01000000-0000-0001-0000-000000000001",
2016-10-20 14:03:12.4197,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,37,"Document with key 'Raven/Databases/Candidates' was found, etag: 01000000-0000-0001-0000-000000000001",
2016-10-20 14:03:12.5063,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,37,Request #  55: GET     -    89 ms -            - 200 - http://localhost:8080/docs/Raven/Databases/Candidates,
2016-10-20 14:03:12.5475,Raven.Database.DocumentDatabase,Debug,Candidates,29,Start loading the following database: Candidates,
2016-10-20 14:03:12.5475,Raven.Database.Impl.DocumentCacher,Info,Candidates,29,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3170893824
  PollingInterval     = 00:02:00",
2016-10-20 14:03:12.5915,Raven.Database.Storage.Esent.StorageConfigurator,Info,Candidates,29,"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-10-20 14:03:12.5915,Raven.Storage.Esent.TransactionalStorage,Info,Candidates,29,"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-10-20 14:03:13.6381,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,29,Document with key 'Raven/Backup/Status' was not found,
2016-10-20 14:03:13.6381,Raven.Database.DocumentDatabase,Debug,,29,Finish loading the following database: Candidates,
2016-10-20 14:03:13.6381,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,No tasks to execute were found!,
2016-10-20 14:03:13.6381,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"Executed 0 tasks, processed documents: 0, took 0ms",
2016-10-20 14:03:13.6381,Raven.Database.Indexing.WorkContext,Debug,Candidates,40,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2016-10-20 14:03:13.6381,Raven.Database.Indexing.WorkContext,Debug,Candidates,41,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2016-10-20 14:03:13.7082,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,36,Document with key 'IndexId1' was not found,
2016-10-20 14:03:15.0729,Raven.Database.Linq.QueryParsingUtils,Debug,Candidates,36,"Index Index_Raven_DocumentsByEntityName in database Candidates was compiled, cached and stored on disk (at C:\C# Projects\StudentVoting_MECHS\packages\RavenDB.Server.3.0.30155\tools\CompiledIndexCache\) and loaded to assembly",
2016-10-20 14:03:15.0749,Raven.Database.Storage.IndexDefinitionStorage,Info,Candidates,36,"New index Raven/DocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
    Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
    LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
    LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
    Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
    LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
    LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2016-10-20 14:03:15.2589,Raven.Database.Indexing.IndexStorage,Debug,Candidates,36,Creating index 1 with id Raven/DocumentsByEntityName,
2016-10-20 14:03:15.5564,Raven.Database.Indexing.Index.Indexing,Debug,Candidates,36,Creating index for Raven/DocumentsByEntityName,
2016-10-20 14:03:15.5815,Raven.Database.Indexing.WorkContext,Debug,Candidates,36,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2016-10-20 14:03:15.5815,Raven.Database.Indexing.WorkContext,Debug,Candidates,41,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2016-10-20 14:03:15.6075,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,32,Request #  57: GET     -     0 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/singleAuthToken,
2016-10-20 14:03:15.6075,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,36,Document with key 'Raven/StudioConfig' was not found,
